c_custkey,c_nationkey,c_mktsegment,n_name,n_regionkey,o_orderpriority,o_orderstatus
custkey_49169,nationkey_0,MACHINERY,ALGERIA,regionkey_0,3-MEDIUM,F
custkey_49169,nationkey_0,MACHINERY,ALGERIA,regionkey_0,1-URGENT,F
custkey_49169,nationkey_0,MACHINERY,ALGERIA,regionkey_0,5-LOW,F
custkey_49169,nationkey_0,MACHINERY,ALGERIA,regionkey_0,4-NOTSPECIFIED,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,5-LOW,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,4-NOTSPECIFIED,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,4-NOTSPECIFIED,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,3-MEDIUM,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,4-NOTSPECIFIED,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,4-NOTSPECIFIED,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,2-HIGH,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,5-LOW,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,1-URGENT,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,2-HIGH,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,5-LOW,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,3-MEDIUM,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,3-MEDIUM,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,2-HIGH,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,3-MEDIUM,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,3-MEDIUM,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,5-LOW,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,4-NOTSPECIFIED,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,4-NOTSPECIFIED,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,1-URGENT,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,1-URGENT,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,5-LOW,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,1-URGENT,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,5-LOW,F
custkey_132938,nationkey_22,AUTOMOBILE,RUSSIA,regionkey_3,1-URGENT,F
custkey_131579,nationkey_1,MACHINERY,ARGENTINA,regionkey_1,3-MEDIUM,O
custkey_131579,nationkey_1,MACHINERY,ARGENTINA,regionkey_1,4-NOTSPECIFIED,F
custkey_131579,nationkey_1,MACHINERY,ARGENTINA,regionkey_1,3-MEDIUM,O
custkey_131579,nationkey_1,MACHINERY,ARGENTINA,regionkey_1,3-MEDIUM,O
custkey_131579,nationkey_1,MACHINERY,ARGENTINA,regionkey_1,3-MEDIUM,O
custkey_131579,nationkey_1,MACHINERY,ARGENTINA,regionkey_1,3-MEDIUM,F
custkey_131579,nationkey_1,MACHINERY,ARGENTINA,regionkey_1,1-URGENT,O
custkey_131579,nationkey_1,MACHINERY,ARGENTINA,regionkey_1,2-HIGH,F
custkey_131579,nationkey_1,MACHINERY,ARGENTINA,regionkey_1,2-HIGH,F
custkey_131579,nationkey_1,MACHINERY,ARGENTINA,regionkey_1,2-HIGH,F
custkey_131579,nationkey_1,MACHINERY,ARGENTINA,regionkey_1,4-NOTSPECIFIED,O
custkey_131579,nationkey_1,MACHINERY,ARGENTINA,regionkey_1,5-LOW,F
custkey_131579,nationkey_1,MACHINERY,ARGENTINA,regionkey_1,4-NOTSPECIFIED,O
custkey_131579,nationkey_1,MACHINERY,ARGENTINA,regionkey_1,3-MEDIUM,F
custkey_131579,nationkey_1,MACHINERY,ARGENTINA,regionkey_1,5-LOW,F
custkey_131579,nationkey_1,MACHINERY,ARGENTINA,regionkey_1,3-MEDIUM,O
custkey_131579,nationkey_1,MACHINERY,ARGENTINA,regionkey_1,3-MEDIUM,F
custkey_37180,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,1-URGENT,O
custkey_37180,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,2-HIGH,O
custkey_37180,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,3-MEDIUM,O
custkey_37180,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,4-NOTSPECIFIED,O
custkey_37180,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,4-NOTSPECIFIED,O
custkey_37180,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,2-HIGH,O
custkey_37180,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,5-LOW,O
custkey_37180,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,5-LOW,O
custkey_37180,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,4-NOTSPECIFIED,O
custkey_37180,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,5-LOW,O
custkey_37180,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,2-HIGH,O
custkey_37180,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,4-NOTSPECIFIED,O
custkey_87400,nationkey_3,BUILDING,CANADA,regionkey_1,2-HIGH,O
custkey_87400,nationkey_3,BUILDING,CANADA,regionkey_1,5-LOW,O
custkey_87400,nationkey_3,BUILDING,CANADA,regionkey_1,5-LOW,O
custkey_87400,nationkey_3,BUILDING,CANADA,regionkey_1,1-URGENT,O
custkey_87400,nationkey_3,BUILDING,CANADA,regionkey_1,1-URGENT,O
custkey_87400,nationkey_3,BUILDING,CANADA,regionkey_1,2-HIGH,O
custkey_87400,nationkey_3,BUILDING,CANADA,regionkey_1,2-HIGH,O
custkey_87400,nationkey_3,BUILDING,CANADA,regionkey_1,4-NOTSPECIFIED,O
custkey_87400,nationkey_3,BUILDING,CANADA,regionkey_1,4-NOTSPECIFIED,O
custkey_87400,nationkey_3,BUILDING,CANADA,regionkey_1,2-HIGH,O
custkey_87400,nationkey_3,BUILDING,CANADA,regionkey_1,5-LOW,O
custkey_87400,nationkey_3,BUILDING,CANADA,regionkey_1,3-MEDIUM,O
custkey_87400,nationkey_3,BUILDING,CANADA,regionkey_1,3-MEDIUM,O
custkey_87400,nationkey_3,BUILDING,CANADA,regionkey_1,2-HIGH,O
custkey_87400,nationkey_3,BUILDING,CANADA,regionkey_1,4-NOTSPECIFIED,O
custkey_87400,nationkey_3,BUILDING,CANADA,regionkey_1,2-HIGH,O
custkey_87400,nationkey_3,BUILDING,CANADA,regionkey_1,2-HIGH,O
custkey_87400,nationkey_3,BUILDING,CANADA,regionkey_1,5-LOW,O
custkey_87400,nationkey_3,BUILDING,CANADA,regionkey_1,4-NOTSPECIFIED,O
custkey_20959,nationkey_7,MACHINERY,GERMANY,regionkey_3,2-HIGH,F
custkey_20959,nationkey_7,MACHINERY,GERMANY,regionkey_3,3-MEDIUM,F
custkey_20959,nationkey_7,MACHINERY,GERMANY,regionkey_3,2-HIGH,F
custkey_20959,nationkey_7,MACHINERY,GERMANY,regionkey_3,4-NOTSPECIFIED,F
custkey_20959,nationkey_7,MACHINERY,GERMANY,regionkey_3,4-NOTSPECIFIED,F
custkey_20959,nationkey_7,MACHINERY,GERMANY,regionkey_3,3-MEDIUM,F
custkey_20959,nationkey_7,MACHINERY,GERMANY,regionkey_3,3-MEDIUM,F
custkey_20959,nationkey_7,MACHINERY,GERMANY,regionkey_3,4-NOTSPECIFIED,F
custkey_20959,nationkey_7,MACHINERY,GERMANY,regionkey_3,4-NOTSPECIFIED,F
custkey_20959,nationkey_7,MACHINERY,GERMANY,regionkey_3,3-MEDIUM,F
custkey_20959,nationkey_7,MACHINERY,GERMANY,regionkey_3,4-NOTSPECIFIED,F
custkey_20959,nationkey_7,MACHINERY,GERMANY,regionkey_3,3-MEDIUM,F
custkey_20959,nationkey_7,MACHINERY,GERMANY,regionkey_3,1-URGENT,F
custkey_20959,nationkey_7,MACHINERY,GERMANY,regionkey_3,2-HIGH,F
custkey_20959,nationkey_7,MACHINERY,GERMANY,regionkey_3,2-HIGH,F
custkey_20959,nationkey_7,MACHINERY,GERMANY,regionkey_3,5-LOW,F
custkey_104489,nationkey_24,HOUSEHOLD,UNITEDSTATES,regionkey_1,1-URGENT,O
custkey_104489,nationkey_24,HOUSEHOLD,UNITEDSTATES,regionkey_1,5-LOW,O
custkey_104489,nationkey_24,HOUSEHOLD,UNITEDSTATES,regionkey_1,3-MEDIUM,O
custkey_104489,nationkey_24,HOUSEHOLD,UNITEDSTATES,regionkey_1,1-URGENT,O
custkey_104489,nationkey_24,HOUSEHOLD,UNITEDSTATES,regionkey_1,3-MEDIUM,O
custkey_104489,nationkey_24,HOUSEHOLD,UNITEDSTATES,regionkey_1,2-HIGH,O
custkey_104489,nationkey_24,HOUSEHOLD,UNITEDSTATES,regionkey_1,3-MEDIUM,O
custkey_104489,nationkey_24,HOUSEHOLD,UNITEDSTATES,regionkey_1,4-NOTSPECIFIED,O
custkey_104489,nationkey_24,HOUSEHOLD,UNITEDSTATES,regionkey_1,3-MEDIUM,O
custkey_104489,nationkey_24,HOUSEHOLD,UNITEDSTATES,regionkey_1,1-URGENT,O
custkey_104489,nationkey_24,HOUSEHOLD,UNITEDSTATES,regionkey_1,2-HIGH,O
custkey_104489,nationkey_24,HOUSEHOLD,UNITEDSTATES,regionkey_1,5-LOW,O
custkey_1670,nationkey_23,AUTOMOBILE,UNITEDKINGDOM,regionkey_3,5-LOW,F
custkey_1670,nationkey_23,AUTOMOBILE,UNITEDKINGDOM,regionkey_3,5-LOW,F
custkey_1670,nationkey_23,AUTOMOBILE,UNITEDKINGDOM,regionkey_3,2-HIGH,F
custkey_1670,nationkey_23,AUTOMOBILE,UNITEDKINGDOM,regionkey_3,3-MEDIUM,F
custkey_1670,nationkey_23,AUTOMOBILE,UNITEDKINGDOM,regionkey_3,5-LOW,F
custkey_1670,nationkey_23,AUTOMOBILE,UNITEDKINGDOM,regionkey_3,4-NOTSPECIFIED,F
custkey_1670,nationkey_23,AUTOMOBILE,UNITEDKINGDOM,regionkey_3,4-NOTSPECIFIED,F
custkey_1670,nationkey_23,AUTOMOBILE,UNITEDKINGDOM,regionkey_3,2-HIGH,F
custkey_1670,nationkey_23,AUTOMOBILE,UNITEDKINGDOM,regionkey_3,3-MEDIUM,F
custkey_1670,nationkey_23,AUTOMOBILE,UNITEDKINGDOM,regionkey_3,1-URGENT,F
custkey_1670,nationkey_23,AUTOMOBILE,UNITEDKINGDOM,regionkey_3,5-LOW,F
custkey_1670,nationkey_23,AUTOMOBILE,UNITEDKINGDOM,regionkey_3,3-MEDIUM,F
custkey_1670,nationkey_23,AUTOMOBILE,UNITEDKINGDOM,regionkey_3,2-HIGH,F
custkey_1670,nationkey_23,AUTOMOBILE,UNITEDKINGDOM,regionkey_3,5-LOW,F
custkey_19693,nationkey_9,FURNITURE,INDONESIA,regionkey_2,3-MEDIUM,P
custkey_19693,nationkey_9,FURNITURE,INDONESIA,regionkey_2,2-HIGH,F
custkey_19693,nationkey_9,FURNITURE,INDONESIA,regionkey_2,1-URGENT,F
custkey_19693,nationkey_9,FURNITURE,INDONESIA,regionkey_2,5-LOW,O
custkey_19693,nationkey_9,FURNITURE,INDONESIA,regionkey_2,3-MEDIUM,F
custkey_19693,nationkey_9,FURNITURE,INDONESIA,regionkey_2,3-MEDIUM,F
custkey_19693,nationkey_9,FURNITURE,INDONESIA,regionkey_2,2-HIGH,F
custkey_19693,nationkey_9,FURNITURE,INDONESIA,regionkey_2,3-MEDIUM,F
custkey_19693,nationkey_9,FURNITURE,INDONESIA,regionkey_2,2-HIGH,F
custkey_19693,nationkey_9,FURNITURE,INDONESIA,regionkey_2,1-URGENT,F
custkey_19693,nationkey_9,FURNITURE,INDONESIA,regionkey_2,1-URGENT,P
custkey_19693,nationkey_9,FURNITURE,INDONESIA,regionkey_2,5-LOW,P
custkey_19693,nationkey_9,FURNITURE,INDONESIA,regionkey_2,3-MEDIUM,F
custkey_19693,nationkey_9,FURNITURE,INDONESIA,regionkey_2,1-URGENT,P
custkey_19693,nationkey_9,FURNITURE,INDONESIA,regionkey_2,3-MEDIUM,F
custkey_89759,nationkey_24,BUILDING,UNITEDSTATES,regionkey_1,5-LOW,F
custkey_89759,nationkey_24,BUILDING,UNITEDSTATES,regionkey_1,2-HIGH,F
custkey_89759,nationkey_24,BUILDING,UNITEDSTATES,regionkey_1,5-LOW,F
custkey_89759,nationkey_24,BUILDING,UNITEDSTATES,regionkey_1,4-NOTSPECIFIED,F
custkey_89759,nationkey_24,BUILDING,UNITEDSTATES,regionkey_1,1-URGENT,F
custkey_89759,nationkey_24,BUILDING,UNITEDSTATES,regionkey_1,1-URGENT,F
custkey_89759,nationkey_24,BUILDING,UNITEDSTATES,regionkey_1,3-MEDIUM,F
custkey_89759,nationkey_24,BUILDING,UNITEDSTATES,regionkey_1,2-HIGH,F
custkey_89759,nationkey_24,BUILDING,UNITEDSTATES,regionkey_1,4-NOTSPECIFIED,F
custkey_89759,nationkey_24,BUILDING,UNITEDSTATES,regionkey_1,5-LOW,F
custkey_89759,nationkey_24,BUILDING,UNITEDSTATES,regionkey_1,2-HIGH,F
custkey_89759,nationkey_24,BUILDING,UNITEDSTATES,regionkey_1,3-MEDIUM,F
custkey_89759,nationkey_24,BUILDING,UNITEDSTATES,regionkey_1,5-LOW,F
custkey_89759,nationkey_24,BUILDING,UNITEDSTATES,regionkey_1,2-HIGH,F
custkey_89759,nationkey_24,BUILDING,UNITEDSTATES,regionkey_1,5-LOW,F
custkey_89759,nationkey_24,BUILDING,UNITEDSTATES,regionkey_1,2-HIGH,F
custkey_89759,nationkey_24,BUILDING,UNITEDSTATES,regionkey_1,4-NOTSPECIFIED,F
custkey_89759,nationkey_24,BUILDING,UNITEDSTATES,regionkey_1,2-HIGH,F
custkey_89759,nationkey_24,BUILDING,UNITEDSTATES,regionkey_1,2-HIGH,F
custkey_89759,nationkey_24,BUILDING,UNITEDSTATES,regionkey_1,3-MEDIUM,F
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,3-MEDIUM,P
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,1-URGENT,O
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,4-NOTSPECIFIED,O
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,3-MEDIUM,P
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,5-LOW,O
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,3-MEDIUM,O
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,3-MEDIUM,O
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,1-URGENT,O
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,1-URGENT,O
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,2-HIGH,P
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,2-HIGH,P
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,2-HIGH,O
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,3-MEDIUM,O
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,2-HIGH,O
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,4-NOTSPECIFIED,O
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,4-NOTSPECIFIED,O
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,1-URGENT,O
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,5-LOW,P
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,2-HIGH,O
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,2-HIGH,O
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,5-LOW,O
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,5-LOW,O
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,2-HIGH,P
custkey_121160,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,2-HIGH,O
custkey_50308,nationkey_7,HOUSEHOLD,GERMANY,regionkey_3,1-URGENT,O
custkey_50308,nationkey_7,HOUSEHOLD,GERMANY,regionkey_3,5-LOW,O
custkey_50308,nationkey_7,HOUSEHOLD,GERMANY,regionkey_3,5-LOW,O
custkey_50308,nationkey_7,HOUSEHOLD,GERMANY,regionkey_3,2-HIGH,O
custkey_50308,nationkey_7,HOUSEHOLD,GERMANY,regionkey_3,2-HIGH,O
custkey_50308,nationkey_7,HOUSEHOLD,GERMANY,regionkey_3,5-LOW,O
custkey_50308,nationkey_7,HOUSEHOLD,GERMANY,regionkey_3,2-HIGH,O
custkey_50308,nationkey_7,HOUSEHOLD,GERMANY,regionkey_3,3-MEDIUM,O
custkey_50308,nationkey_7,HOUSEHOLD,GERMANY,regionkey_3,3-MEDIUM,O
custkey_50308,nationkey_7,HOUSEHOLD,GERMANY,regionkey_3,2-HIGH,O
custkey_50308,nationkey_7,HOUSEHOLD,GERMANY,regionkey_3,5-LOW,O
custkey_50308,nationkey_7,HOUSEHOLD,GERMANY,regionkey_3,1-URGENT,O
custkey_50308,nationkey_7,HOUSEHOLD,GERMANY,regionkey_3,5-LOW,O
custkey_50308,nationkey_7,HOUSEHOLD,GERMANY,regionkey_3,5-LOW,O
custkey_86047,nationkey_24,AUTOMOBILE,UNITEDSTATES,regionkey_1,2-HIGH,F
custkey_86047,nationkey_24,AUTOMOBILE,UNITEDSTATES,regionkey_1,3-MEDIUM,F
custkey_86047,nationkey_24,AUTOMOBILE,UNITEDSTATES,regionkey_1,3-MEDIUM,F
custkey_86047,nationkey_24,AUTOMOBILE,UNITEDSTATES,regionkey_1,5-LOW,F
custkey_86047,nationkey_24,AUTOMOBILE,UNITEDSTATES,regionkey_1,4-NOTSPECIFIED,F
custkey_86047,nationkey_24,AUTOMOBILE,UNITEDSTATES,regionkey_1,5-LOW,F
custkey_86047,nationkey_24,AUTOMOBILE,UNITEDSTATES,regionkey_1,3-MEDIUM,F
custkey_86047,nationkey_24,AUTOMOBILE,UNITEDSTATES,regionkey_1,1-URGENT,F
custkey_86047,nationkey_24,AUTOMOBILE,UNITEDSTATES,regionkey_1,4-NOTSPECIFIED,F
custkey_86047,nationkey_24,AUTOMOBILE,UNITEDSTATES,regionkey_1,3-MEDIUM,F
custkey_86047,nationkey_24,AUTOMOBILE,UNITEDSTATES,regionkey_1,4-NOTSPECIFIED,F
custkey_86047,nationkey_24,AUTOMOBILE,UNITEDSTATES,regionkey_1,1-URGENT,F
custkey_86047,nationkey_24,AUTOMOBILE,UNITEDSTATES,regionkey_1,4-NOTSPECIFIED,F
custkey_35437,nationkey_9,BUILDING,INDONESIA,regionkey_2,2-HIGH,F
custkey_35437,nationkey_9,BUILDING,INDONESIA,regionkey_2,2-HIGH,P
custkey_35437,nationkey_9,BUILDING,INDONESIA,regionkey_2,4-NOTSPECIFIED,O
custkey_35437,nationkey_9,BUILDING,INDONESIA,regionkey_2,1-URGENT,O
custkey_35437,nationkey_9,BUILDING,INDONESIA,regionkey_2,3-MEDIUM,F
custkey_35437,nationkey_9,BUILDING,INDONESIA,regionkey_2,2-HIGH,O
custkey_35437,nationkey_9,BUILDING,INDONESIA,regionkey_2,2-HIGH,F
custkey_35437,nationkey_9,BUILDING,INDONESIA,regionkey_2,1-URGENT,O
custkey_35437,nationkey_9,BUILDING,INDONESIA,regionkey_2,1-URGENT,F
custkey_35437,nationkey_9,BUILDING,INDONESIA,regionkey_2,4-NOTSPECIFIED,O
custkey_35437,nationkey_9,BUILDING,INDONESIA,regionkey_2,1-URGENT,F
custkey_35437,nationkey_9,BUILDING,INDONESIA,regionkey_2,2-HIGH,F
custkey_35437,nationkey_9,BUILDING,INDONESIA,regionkey_2,2-HIGH,O
custkey_35437,nationkey_9,BUILDING,INDONESIA,regionkey_2,5-LOW,O
custkey_35437,nationkey_9,BUILDING,INDONESIA,regionkey_2,3-MEDIUM,P
custkey_35437,nationkey_9,BUILDING,INDONESIA,regionkey_2,5-LOW,O
custkey_35437,nationkey_9,BUILDING,INDONESIA,regionkey_2,1-URGENT,O
custkey_35437,nationkey_9,BUILDING,INDONESIA,regionkey_2,2-HIGH,O
custkey_35437,nationkey_9,BUILDING,INDONESIA,regionkey_2,4-NOTSPECIFIED,F
custkey_35437,nationkey_9,BUILDING,INDONESIA,regionkey_2,1-URGENT,O
custkey_35437,nationkey_9,BUILDING,INDONESIA,regionkey_2,3-MEDIUM,O
custkey_35437,nationkey_9,BUILDING,INDONESIA,regionkey_2,5-LOW,F
custkey_98086,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,3-MEDIUM,F
custkey_98086,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,3-MEDIUM,F
custkey_98086,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,3-MEDIUM,F
custkey_98086,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,5-LOW,F
custkey_98086,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,2-HIGH,F
custkey_98086,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,2-HIGH,F
custkey_98086,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,2-HIGH,F
custkey_98086,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,3-MEDIUM,F
custkey_98086,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,3-MEDIUM,F
custkey_98086,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,1-URGENT,F
custkey_98086,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,2-HIGH,F
custkey_98086,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,3-MEDIUM,F
custkey_98086,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,4-NOTSPECIFIED,F
custkey_98086,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,5-LOW,F
custkey_98086,nationkey_3,AUTOMOBILE,CANADA,regionkey_1,4-NOTSPECIFIED,F
custkey_147061,nationkey_7,FURNITURE,GERMANY,regionkey_3,2-HIGH,O
custkey_147061,nationkey_7,FURNITURE,GERMANY,regionkey_3,5-LOW,O
custkey_147061,nationkey_7,FURNITURE,GERMANY,regionkey_3,2-HIGH,O
custkey_147061,nationkey_7,FURNITURE,GERMANY,regionkey_3,4-NOTSPECIFIED,O
custkey_147061,nationkey_7,FURNITURE,GERMANY,regionkey_3,5-LOW,O
custkey_147061,nationkey_7,FURNITURE,GERMANY,regionkey_3,5-LOW,O
custkey_147061,nationkey_7,FURNITURE,GERMANY,regionkey_3,2-HIGH,O
custkey_147061,nationkey_7,FURNITURE,GERMANY,regionkey_3,2-HIGH,O
custkey_147061,nationkey_7,FURNITURE,GERMANY,regionkey_3,1-URGENT,O
custkey_147061,nationkey_7,FURNITURE,GERMANY,regionkey_3,4-NOTSPECIFIED,O
custkey_147061,nationkey_7,FURNITURE,GERMANY,regionkey_3,1-URGENT,O
custkey_147061,nationkey_7,FURNITURE,GERMANY,regionkey_3,2-HIGH,O
custkey_147061,nationkey_7,FURNITURE,GERMANY,regionkey_3,4-NOTSPECIFIED,O
custkey_147061,nationkey_7,FURNITURE,GERMANY,regionkey_3,4-NOTSPECIFIED,O
custkey_147061,nationkey_7,FURNITURE,GERMANY,regionkey_3,3-MEDIUM,O
custkey_147061,nationkey_7,FURNITURE,GERMANY,regionkey_3,2-HIGH,O
custkey_117143,nationkey_18,HOUSEHOLD,CHINA,regionkey_2,3-MEDIUM,F
custkey_117143,nationkey_18,HOUSEHOLD,CHINA,regionkey_2,5-LOW,O
custkey_117143,nationkey_18,HOUSEHOLD,CHINA,regionkey_2,1-URGENT,F
custkey_117143,nationkey_18,HOUSEHOLD,CHINA,regionkey_2,3-MEDIUM,P
custkey_117143,nationkey_18,HOUSEHOLD,CHINA,regionkey_2,2-HIGH,P
custkey_117143,nationkey_18,HOUSEHOLD,CHINA,regionkey_2,2-HIGH,F
custkey_117143,nationkey_18,HOUSEHOLD,CHINA,regionkey_2,1-URGENT,F
