c_acctbal,o_totalprice
2140.41,178416.56
2140.41,66217.13
2140.41,260089.3
2140.41,40292.85
2140.41,214859.28
2140.41,198151.39
2140.41,188150.2
2140.41,29632.78
2140.41,151725.64
2140.41,264423.9
2140.41,197251.93
2140.41,203935.41
2140.41,111738.17
2140.41,349035.17
5117.64,262359.21
5117.64,240206.08
5117.64,23147.68
5117.64,155324.72
5117.64,242261.75
5117.64,155513.31
5117.64,183881.95
5117.64,165393.12
5117.64,82459.03
5117.64,113546.73
5117.64,135080.28
5117.64,212532.86
5117.64,93426.99
5117.64,301142.86
5117.64,240362.91
5117.64,264019.13
5117.64,115368.19
5117.64,221392.3
5117.64,161101.74
5117.64,8733.12
5117.64,33588.65
5117.64,157938.94
5117.64,253350.03
5117.64,232854.56
3577.34,320571.37
3577.34,78059.99
3577.34,224586.75
3577.34,178598.99
3577.34,215324.85
3577.34,236862.51
3577.34,163912.76
3577.34,64061.19
3577.34,165021.62
3577.34,74838.27
3577.34,68361.42
3577.34,38596.66
3577.34,254150.85
3577.34,98709.62
3683.53,42629.28
3683.53,294634.25
3683.53,216702.45
3683.53,23746.22
3683.53,136741.89
3683.53,296790.98
3683.53,81310.25
3683.53,97099.21
3683.53,141855.42
3683.53,88986.49
3683.53,54924.38
3683.53,161366.83
3683.53,22833.84
1305.31,93660.22
1305.31,233348.54
1305.31,114882.13
1305.31,102995.86
1305.31,30639.41
1305.31,100078.57
1305.31,84835.02
1305.31,47609.62
1305.31,30813.1
1305.31,48792.17
1305.31,70918.0
1305.31,266354.91
1305.31,106217.12
1305.31,113780.55
1305.31,91240.48
1305.31,103311.2
1305.31,65609.7
1305.31,61029.88
1305.31,187184.16
1305.31,85645.43
1305.31,65432.7
1305.31,288639.78
7526.79,206465.58
7526.79,154636.05
7526.79,44961.45
7526.79,113543.07
7526.79,43400.54
7526.79,164962.34
7526.79,25442.89
7526.79,230925.33
7526.79,70140.88
7526.79,151178.46
7526.79,61121.12
7526.79,205230.15
7526.79,72769.93
7526.79,57277.46
7526.79,34460.54
-713.04,10211.6
-713.04,128858.17
-713.04,40397.82
-713.04,139230.05
-713.04,170007.54
-713.04,62797.68
-713.04,79724.77
-713.04,72892.89
-713.04,35015.43
-713.04,127722.22
-713.04,71850.61
-713.04,191796.21
-713.04,151283.48
-713.04,175223.09
-713.04,34422.53
-713.04,164066.9
1441.06,192105.02
1441.06,192115.8
1441.06,100947.41
1441.06,319426.23
1441.06,231377.86
1441.06,86094.71
1441.06,65531.97
1441.06,207070.21
1441.06,210935.26
1441.06,228886.18
1441.06,256151.61
1441.06,112677.16
1441.06,68519.32
1441.06,253788.08
1441.06,61376.68
1441.06,45826.06
1441.06,224395.2
1441.06,202300.04
1441.06,156654.34
3638.06,239760.73
3638.06,35283.77
3638.06,53325.39
3638.06,57442.06
3638.06,179005.6
3638.06,274787.03
3638.06,8687.64
3638.06,210498.12
3638.06,166188.75
3638.06,185174.04
3638.06,19033.35
3638.06,160866.22
3638.06,200382.01
3638.06,90608.72
9789.85,295324.82
9789.85,146047.11
9789.85,318810.02
9789.85,211877.66
9789.85,64930.03
9789.85,153111.06
9789.85,156823.37
9789.85,54711.19
9789.85,91263.34
9789.85,55847.95
9789.85,94746.55
9789.85,78153.38
9789.85,34243.5
9789.85,102714.54
9789.85,173900.24
3389.29,118172.85
3389.29,142481.18
3389.29,70499.5
3389.29,162289.27
3389.29,180253.82
3389.29,178687.67
3389.29,48148.89
3389.29,88697.44
3389.29,176427.94
3389.29,111845.89
5664.85,23901.45
5664.85,234265.57
5664.85,120542.32
5664.85,134628.2
5664.85,184844.34
5664.85,312250.2
5664.85,286888.02
5664.85,163412.4
916.42,174963.0
916.42,212954.1
916.42,206269.92
916.42,108506.52
916.42,63005.53
916.42,87389.45
916.42,307994.31
916.42,164525.98
916.42,149855.59
916.42,144461.36
916.42,15803.67
916.42,346996.05
916.42,260324.13
916.42,277302.32
916.42,231674.2
-936.47,52111.45
-936.47,100417.07
-936.47,307729.72
-936.47,211069.29
-936.47,146836.65
-936.47,186486.7
-936.47,100137.43
-936.47,156816.3
-936.47,246050.26
-936.47,17373.28
-936.47,82971.34
-936.47,109343.91
-936.47,66892.39
-936.47,198264.23
7936.04,8697.32
7936.04,143084.91
7936.04,330253.82
7936.04,17007.28
7936.04,285159.11
7936.04,75693.49
7936.04,131438.52
7936.04,262921.7
7936.04,283383.01
7936.04,158889.54
1239.68,6965.9
1239.68,173866.34
1239.68,121090.94
1239.68,258699.25
1239.68,255452.6
1239.68,263421.18
1239.68,33707.01
1239.68,216858.08
1239.68,142265.13
1239.68,220695.24
1239.68,93295.53
1239.68,67121.21
1239.68,111662.94
1239.68,66128.71
1239.68,112885.18
1239.68,86211.85
1239.68,9732.67
1239.68,100744.58
1239.68,86409.3
-70.88,257906.19
-70.88,11383.59
-70.88,215261.44
-70.88,163067.59
-70.88,281162.39
-70.88,295343.28
-70.88,118474.32
-70.88,113164.31
-70.88,115514.09
-70.88,140596.29
-70.88,156348.43
-70.88,227502.79
-70.88,233961.1
-70.88,171512.04
-70.88,99902.11
-70.88,51964.86
-70.88,70681.82
-70.88,14357.41
-70.88,384736.49
-70.88,131860.54
-70.88,145126.54
-70.88,114537.68
-70.88,104851.53
2469.8,33829.76
2469.8,98572.38
2469.8,171038.55
2469.8,32148.94
2469.8,69152.66
2469.8,141540.5
2469.8,186327.0
2469.8,376105.24
2469.8,293665.24
2469.8,55208.47
2469.8,220513.3
2469.8,225438.65
2469.8,180128.08
2469.8,350196.15
2469.8,110333.94
2469.8,55886.04
2469.8,242652.22
2469.8,220558.97
2469.8,54116.23
7701.01,196972.7
7701.01,231484.0
7701.01,11433.93
7701.01,83650.93
7701.01,147223.42
7701.01,119083.64
7701.01,244164.61
7701.01,1106.49
7701.01,159876.09
7701.01,255522.02
7701.01,42455.63
7701.01,86835.74
7701.01,307503.43
7701.01,199085.0
7701.01,92313.31
5303.22,261590.27
5303.22,60668.24
5303.22,47403.51
5303.22,121016.55
5303.22,38922.81
5303.22,154673.03
5303.22,163665.82
5303.22,219037.97
5303.22,138243.4
5303.22,213668.63
5303.22,223299.72
5303.22,117507.22
5303.22,302712.59
5303.22,235226.91
5303.22,368703.18
5303.22,165867.56
5303.22,43668.97
5303.22,36806.38
5303.22,139613.22
-834.28,87153.22
-834.28,50148.79
-834.28,166029.19
-834.28,49750.23
-834.28,59525.58
-834.28,23667.76
-834.28,252163.58
-834.28,172544.54
-834.28,186330.44
-834.28,205903.89
-834.28,90383.29
-834.28,93882.4
-834.28,321562.31
-834.28,119140.5
-834.28,212351.23
-834.28,101147.95
-834.28,79204.44
-834.28,62334.3
-834.28,129734.13
-834.28,44381.55
-834.28,184868.08
-834.28,238279.31
6204.36,246673.55
6204.36,152970.01
6204.36,127155.31
6204.36,99654.42
6204.36,50649.24
6204.36,84731.84
6204.36,173414.79
6204.36,220346.69
6204.36,227123.83
6204.36,307652.26
6204.36,110142.68
6204.36,138169.72
6204.36,139693.99
6204.36,163968.82
6204.36,108449.43
6204.36,157462.5
6204.36,168487.04
6204.36,202444.91
6204.36,134841.27
6204.36,145316.9
6204.36,104442.09
6204.36,149239.51
6204.36,229683.33
6204.36,192940.04
9072.01,221740.41
9072.01,56263.21
9072.01,322714.55
9072.01,1883.47
9072.01,149291.18
9072.01,32216.58
9072.01,154110.95
9072.01,109510.01
9072.01,238839.8
9072.01,97283.71
9072.01,287354.14
9072.01,194460.3
9072.01,89826.18
5164.3,254647.03
5164.3,238984.39
5164.3,147293.95
5164.3,41616.14
5164.3,301376.09
1966.36,243001.41
1966.36,253900.83
1966.36,119543.99
1966.36,170347.13
1966.36,180817.36
1966.36,24646.49
1966.36,84084.79
1966.36,300852.55
1966.36,138383.2
1966.36,192246.14
1966.36,196839.77
1966.36,171413.87
1966.36,189030.38
1966.36,150033.95
1966.36,27365.53
2726.52,198164.65
2726.52,180790.39
2726.52,293073.62
2726.52,214028.31
2726.52,183827.75
2726.52,70524.91
2726.52,172040.16
2726.52,190955.25
2726.52,81582.39
2726.52,230411.57
2726.52,119714.16
2726.52,141635.75
7566.38,94578.12
7566.38,200609.8
7566.38,143645.8
7566.38,62027.82
7566.38,135899.46
7566.38,123585.84
7566.38,48320.83
7566.38,124597.88
7566.38,117169.67
7566.38,72583.1
7566.38,130483.83
7566.38,6090.09
7566.38,224417.69
7566.38,187724.5
7566.38,268279.49
6782.98,19098.7
6782.98,201486.24
6782.98,139598.64
6782.98,44503.85
6782.98,40979.46
6782.98,43228.24
6782.98,3010.53
6782.98,59703.23
6782.98,75001.66
6782.98,24449.45
6782.98,242885.1
6782.98,17160.78
6782.98,134243.84
6938.94,231027.0
6938.94,100872.6
6938.94,111609.55
6938.94,297285.78
6938.94,152951.09
6938.94,128038.37
6938.94,73566.24
6938.94,47875.79
6938.94,150497.79
6938.94,80307.07
6938.94,164913.58
6938.94,168880.14
4663.85,159688.7
4663.85,33706.86
4663.85,135289.16
4663.85,65057.39
4663.85,114509.01
4663.85,230129.84
4663.85,165808.61
4663.85,77735.05
4663.85,182949.87
4663.85,133383.79
4663.85,224323.45
4663.85,72441.36
3783.51,69699.02
3783.51,130814.43
3783.51,88481.12
3783.51,183416.75
3783.51,248550.84
3783.51,154680.39
3783.51,306824.08
3783.51,145684.01
3783.51,305645.34
3783.51,240870.84
3783.51,115224.69
3783.51,82845.61
3783.51,119331.69
4896.29,185221.94
4896.29,252553.66
4896.29,316798.5
4896.29,71896.75
4896.29,96336.06
4896.29,63809.47
4896.29,311907.25
4896.29,80717.53
4896.29,114740.3
4896.29,223379.63
4896.29,174890.93
4896.29,135816.87
3590.92,51523.61
3590.92,79063.14
3590.92,175453.32
3590.92,160732.32
3590.92,48182.02
3590.92,23328.38
3590.92,48570.57
3590.92,220267.56
3590.92,225685.56
3590.92,47498.75
3590.92,228387.71
3590.92,125107.58
3590.92,150509.17
3590.92,359849.08
3590.92,103187.61
3590.92,56793.54
2209.55,168052.29
2209.55,28345.24
2209.55,82417.49
2209.55,18469.56
2209.55,202625.15
2209.55,201000.46
2209.55,123784.54
2209.55,21862.38
2209.55,212843.39
2209.55,295347.35
2209.55,224407.01
2209.55,21887.67
2209.55,287270.39
2209.55,134616.34
2209.55,159530.53
-888.9,94715.49
-888.9,94999.84
-888.9,66061.73
-888.9,27022.77
-888.9,305768.32
-888.9,122179.88
-888.9,272798.99
787.22,28035.07
787.22,230857.35
787.22,237989.38
787.22,218206.67
787.22,24187.49
787.22,133944.47
787.22,1540.77
787.22,108386.04
787.22,291095.48
787.22,12032.3
787.22,241949.67
7307.73,201251.88
7307.73,125029.63
7307.73,200373.52
7307.73,185581.83
7307.73,278888.68
7307.73,304576.43
7307.73,251053.03
7307.73,212689.2
7307.73,110797.71
7307.73,172458.33
7307.73,8882.46
1611.26,279804.01
1611.26,88954.11
1611.26,297339.82
1611.26,82402.47
1611.26,208560.95
1611.26,139722.1
1611.26,235489.17
1611.26,104251.36
1611.26,172763.33
1611.26,125816.23
4919.05,160764.86
4919.05,16049.34
4919.05,39705.37
4919.05,110508.98
4919.05,153348.05
4919.05,133436.23
4919.05,242232.22
4919.05,270979.57
4919.05,30418.29
4919.05,15253.91
4919.05,93604.23
4919.05,202307.42
4919.05,166439.91
9855.68,32333.19
9855.68,254545.35
9855.68,63610.63
9855.68,301671.41
9855.68,191153.54
9855.68,333023.32
9855.68,18026.66
9855.68,26042.37
9855.68,174960.11
9855.68,72704.08
9855.68,159888.63
1414.67,92807.07
1414.67,173320.42
1414.67,268063.33
1414.67,360138.31
1414.67,65505.14
1414.67,103216.84
1414.67,7821.43
1414.67,64423.82
1414.67,129679.77
1414.67,138662.03
1414.67,83626.32
1414.67,48102.13
1414.67,218301.45
1414.67,229124.31
1414.67,50932.15
1414.67,22610.91
1414.67,132579.23
1414.67,72286.79
1414.67,310440.33
1414.67,146427.81
5431.29,6545.74
5431.29,218402.22
5431.29,56180.71
5431.29,304747.8
5431.29,129486.71
5431.29,290161.03
5431.29,210956.34
4099.08,17566.54
4099.08,250519.74
4099.08,221801.8
4099.08,164095.33
4099.08,300169.69
4099.08,271451.14
4099.08,166000.26
4099.08,166705.06
4099.08,89121.76
4099.08,69649.3
4099.08,126974.05
4099.08,80241.71
4099.08,47980.67
4099.08,48260.35
4099.08,35313.46
2750.04,153350.12
2750.04,202799.86
2750.04,206908.73
2750.04,43041.6
2750.04,203538.61
2750.04,206678.5
2750.04,122920.26
2750.04,124825.49
2750.04,151022.09
2750.04,30081.15
2750.04,118042.73
2750.04,205766.6
2750.04,154544.53
2750.04,221393.16
2750.04,180055.84
2750.04,192144.35
2750.04,147837.58
2750.04,154487.28
2750.04,180750.0
2750.04,45050.84
2750.04,240694.36
2750.04,62514.64
3374.48,109952.45
3374.48,29894.35
3374.48,42152.38
3374.48,84948.77
3374.48,239076.66
3374.48,262256.91
3374.48,99646.8
3374.48,200887.76
3374.48,169201.16
3374.48,336792.04
3374.48,7403.18
3374.48,217345.34
-87.97,210299.32
-87.97,63297.31
-87.97,391940.89
-87.97,171193.09
-87.97,233505.73
-87.97,339850.65
-87.97,145731.59
-87.97,180126.46
-87.97,332546.2
-87.97,174675.04
-87.97,192904.99
7115.27,222609.13
7115.27,193805.04
7115.27,344555.74
7115.27,234024.67
7115.27,45398.39
7115.27,2468.8
7115.27,159222.95
7115.27,209600.31
7115.27,141287.33
7115.27,202324.12
7115.27,285553.2
7115.27,156604.9
7115.27,17306.9
7115.27,24589.25
7115.27,61922.92
7115.27,177039.08
7115.27,81175.54
7115.27,239674.04
7115.27,83503.74
7115.27,169502.65
7115.27,231843.79
7115.27,169907.25
7115.27,53709.79
7115.27,132152.11
8450.98,195862.18
8450.98,250394.63
8450.98,10481.45
8450.98,151932.53
8450.98,99203.42
8450.98,279757.1
8450.98,21933.26
8450.98,137540.82
8450.98,164270.76
8450.98,79129.15
8450.98,334403.55
8450.98,120762.68
8450.98,214643.22
8450.98,147466.38
8450.98,141747.37
8450.98,172481.28
8450.98,40798.69
8450.98,56784.21
8450.98,124026.7
8450.98,136078.6
8450.98,92183.73
9682.19,198342.9
9682.19,221700.45
9682.19,235271.75
9682.19,96971.91
9682.19,365215.56
9682.19,210569.7
9682.19,124483.59
9682.19,137594.12
9682.19,47487.86
9682.19,140393.62
9682.19,93346.94
9682.19,169067.73
9682.19,113317.64
9682.19,197835.59
9682.19,92787.34
-350.32,87405.29
-350.32,228245.45
-350.32,160208.03
-350.32,151319.71
-350.32,222462.63
-350.32,203253.15
-350.32,193197.25
-350.32,26339.64
-350.32,143267.81
9007.06,154583.71
9007.06,335469.04
9007.06,234936.63
9007.06,28087.36
9007.06,222685.09
9007.06,260712.75
9007.06,51250.23
9007.06,129161.89
9007.06,337177.05
9007.06,196648.61
9007.06,55590.93
9007.06,201546.12
9007.06,74549.38
9007.06,44512.82
9007.06,87190.78
9007.06,16695.96
9007.06,261092.05
9007.06,191347.12
9007.06,159608.97
9007.06,161942.94
9994.33,241910.64
9994.33,118782.42
9994.33,332211.4
9994.33,193849.17
9994.33,26907.42
9994.33,284878.39
9994.33,340584.05
9994.33,179062.73
9994.33,248630.41
9994.33,229788.35
9994.33,191162.79
9994.33,160187.91
2098.54,213455.12
2098.54,222478.6
2098.54,268345.47
2098.54,56137.18
2098.54,371074.83
2098.54,260875.32
2098.54,140763.98
2098.54,19721.84
2098.54,281398.21
-965.84,101129.83
-965.84,138696.11
-965.84,135600.38
-965.84,239820.76
-965.84,318962.05
-965.84,151446.72
-965.84,245759.51
-965.84,32413.69
-965.84,134746.7
-965.84,109068.8
-965.84,66475.43
-965.84,83816.06
-965.84,239972.03
-965.84,258438.03
-965.84,37245.26
1031.56,82930.36
1031.56,167412.59
1031.56,271883.32
1031.56,196129.94
1031.56,73898.62
1031.56,186235.16
1031.56,107208.9
1031.56,80751.05
1031.56,204815.96
1031.56,134796.31
1031.56,93471.7
633.22,318870.34
633.22,192565.64
633.22,59208.68
633.22,279377.02
633.22,173216.4
633.22,42995.85
633.22,169668.95
633.22,72750.79
633.22,274877.34
633.22,180082.26
633.22,241536.96
6914.79,17772.66
6914.79,82545.29
6914.79,244398.16
6914.79,38844.05
6914.79,228131.01
6914.79,86053.71
6914.79,268051.86
6914.79,119702.82
6914.79,76092.93
6914.79,127766.42
6914.79,177980.22
6914.79,88497.87
6914.79,182202.98
6914.79,208772.76
4840.6,64814.72
4840.6,165479.73
4840.6,249121.9
4840.6,61246.09
4840.6,109157.42
4840.6,60271.23
4840.6,200702.24
4840.6,41443.08
4840.6,159869.39
4840.6,296161.27
4840.6,149469.08
4840.6,156646.9
4840.6,266765.16
5973.98,110677.61
5973.98,155073.86
5973.98,235007.26
5973.98,179743.84
5973.98,108012.46
5973.98,145588.12
5973.98,1023.96
5973.98,198003.37
5973.98,339007.94
5973.98,217170.74
5973.98,19649.12
5973.98,214008.19
5973.98,249900.07
3903.95,66157.78
3903.95,117936.07
3903.95,83024.56
3903.95,40701.03
3903.95,42817.41
3903.95,30735.62
3903.95,151361.63
3903.95,128201.23
3903.95,172950.42
3903.95,220327.51
3903.95,163332.45
3903.95,317303.38
3903.95,25443.69
3903.95,190203.82
3903.95,56036.29
8001.78,219231.34
8001.78,106250.19
8001.78,168866.09
8001.78,82899.13
8001.78,53464.39
8001.78,211455.06
8001.78,122463.45
8001.78,36208.01
8001.78,126882.6
8001.78,134308.97
8001.78,174656.64
8001.78,38068.77
8001.78,85298.24
4231.63,68419.93
4231.63,308069.29
4231.63,210355.51
4231.63,232663.14
4231.63,188565.87
4231.63,84187.24
4231.63,170858.07
4231.63,156383.29
4231.63,97368.74
4231.63,93564.27
4231.63,16160.62
4231.63,64297.44
1492.02,400793.8
1492.02,212617.23
1492.02,161906.52
1492.02,135722.84
1492.02,337976.83
1492.02,126799.48
1492.02,195633.47
1492.02,245924.57
1492.02,230414.01
1492.02,152198.17
1492.02,138054.03
1492.02,141015.59
1492.02,212640.69
1492.02,273494.63
1492.02,121660.42
1551.64,31493.09
1551.64,73615.57
1551.64,153155.9
1551.64,94938.14
1551.64,102235.21
1551.64,72551.29
1551.64,84864.93
1551.64,17873.28
1551.64,66683.89
1551.64,191733.22
1551.64,81191.67
1551.64,107770.28
1551.64,237319.62
5652.97,323650.2
5652.97,62203.82
5652.97,213804.48
5652.97,245203.8
5652.97,179011.48
5652.97,94469.51
5652.97,153249.82
5652.97,172892.25
5652.97,2991.82
5652.97,121726.34
5652.97,23458.34
5652.97,42185.41
5652.97,139679.33
5652.97,102586.57
5652.97,66801.15
5652.97,197767.31
5652.97,76470.53
5652.97,217996.46
5652.97,232196.1
5652.97,3092.4
5652.97,181157.22
5531.93,41425.88
5531.93,131238.21
5531.93,174111.92
5531.93,229704.14
5531.93,93816.07
5531.93,141303.36
5531.93,151167.2
5531.93,151951.05
5531.93,206957.5
5531.93,201741.61
5531.93,235078.94
5531.93,54948.62
5531.93,349355.18
5531.93,218470.79
899.67,131881.32
899.67,79242.13
899.67,200927.74
899.67,259016.47
899.67,207881.95
899.67,304150.1
899.67,289991.4
899.67,74897.32
899.67,45066.13
899.67,46130.36
899.67,34315.59
899.67,20674.05
899.67,251576.59
899.67,87770.9
899.67,80244.99
899.67,105281.58
899.67,154722.84
911.67,71768.65
911.67,79971.72
911.67,209083.14
911.67,86757.44
911.67,49861.24
911.67,57915.26
911.67,40893.82
911.67,169864.1
911.67,118408.44
4860.24,374336.45
4860.24,294453.03
4860.24,87537.17
4860.24,233377.51
4860.24,333229.95
4860.24,178130.67
4860.24,82842.61
4860.24,288959.73
4860.24,179927.62
4860.24,219598.69
4860.24,32741.69
4860.24,206608.45
4860.24,71138.15
4860.24,142089.84
4860.24,217931.66
4860.24,197460.12
4860.24,91633.1
3819.6,237666.14
3819.6,81544.91
3819.6,95838.89
3819.6,95175.18
3819.6,205863.74
3819.6,202271.76
3819.6,5798.01
3819.6,258161.34
3819.6,111560.42
3819.6,221714.16
3819.6,22927.9
3819.6,66630.41
9150.82,266192.05
9150.82,145140.42
9150.82,89885.23
9150.82,147794.54
9150.82,89076.35
9150.82,79511.64
9150.82,177656.67
9150.82,140808.61
9150.82,55556.51
9150.82,82315.0
9150.82,197571.12
9150.82,284938.76
9150.82,72062.89
9150.82,185759.12
9150.82,276471.3
9150.82,224964.57
9150.82,152899.8
9150.82,97788.47
9150.82,193183.29
9150.82,80450.31
9150.82,85501.05
3441.86,214380.8
3441.86,287466.7
3441.86,302157.89
3441.86,46406.84
3441.86,198964.68
3441.86,140615.38
3441.86,30880.59
3441.86,135658.26
3441.86,43539.72
3441.86,62182.62
3441.86,275990.97
3441.86,303068.17
3441.86,271593.38
3441.86,270944.13
3441.86,157919.0
3441.86,186668.84
3441.86,197120.41
3441.86,258430.27
899.58,180455.13
899.58,148678.93
899.58,12815.44
899.58,101856.13
899.58,63935.56
899.58,188240.28
899.58,163583.13
899.58,75390.24
899.58,121155.17
899.58,61687.02
899.58,219508.36
899.58,137393.15
899.58,149850.01
899.58,143173.33
9979.46,211783.91
9979.46,315677.14
9979.46,44283.04
9979.46,103961.33
9979.46,28755.72
9979.46,416537.77
9979.46,251543.64
9979.46,233334.78
9979.46,191369.2
9979.46,84416.84
9979.46,77261.36
9979.46,61804.02
9979.46,162874.34
9979.46,94622.81
9979.46,243331.68
9979.46,131280.49
9979.46,66620.92
9979.46,221946.74
7752.01,239755.66
7752.01,169743.19
7752.01,224829.12
7752.01,201531.06
7752.01,190590.34
7752.01,156267.5
7752.01,100554.96
7752.01,57875.7
7752.01,272645.21
7752.01,296543.19
7752.01,185332.86
7752.01,241087.66
7752.01,77614.88
7752.01,86360.07
7752.01,261098.28
7752.01,130085.91
7752.01,232125.31
7752.01,64269.35
7752.01,282900.73
4480.08,184169.88
4480.08,156775.15
4480.08,330985.75
4480.08,274539.63
4480.08,118194.04
4480.08,2093.87
4480.08,30912.37
4480.08,2745.64
4480.08,158441.42
4480.08,144247.39
4480.08,267541.43
4480.08,271226.03
4480.08,82404.78
4480.08,270786.4
4480.08,127601.26
4480.08,53776.08
4480.08,83838.6
4480.08,369879.96
7366.94,273258.94
7366.94,255852.68
7366.94,211482.52
7366.94,24155.83
7366.94,183275.29
7366.94,58226.66
7366.94,83442.68
7366.94,133650.53
7366.94,133028.87
7366.94,29891.02
7366.94,332602.23
7366.94,232072.18
7366.94,193754.41
7366.94,79078.71
6306.11,243767.95
6306.11,201241.48
6306.11,283823.59
6306.11,49456.79
6306.11,197332.47
6306.11,223714.29
6306.11,89975.86
6306.11,191336.51
6306.11,184754.51
6306.11,85234.54
6306.11,47287.21
6306.11,64356.72
6306.11,121073.83
6306.11,333192.62
6306.11,150233.09
6306.11,348260.16
6306.11,52958.3
6306.11,226123.46
6306.11,51756.36
6306.11,87732.69
6306.11,336916.59
6306.11,348749.0
6306.11,98588.41
7937.56,33547.88
7937.56,213099.38
7937.56,109381.38
7937.56,153862.33
7937.56,161240.06
7937.56,216642.04
7937.56,87088.54
7937.56,340909.92
7937.56,282217.61
7937.56,322864.11
7937.56,101849.48
7937.56,179832.8
7937.56,190533.24
7937.56,137183.49
7937.56,123223.21
7937.56,58177.43
7937.56,123178.27
7937.56,54370.38
7937.56,257513.18
7937.56,255759.59
7937.56,219550.6
7937.56,356628.1
7937.56,143993.82
5819.09,192577.79
5819.09,274915.13
5819.09,207988.47
5819.09,79607.18
5819.09,78001.19
5819.09,134007.27
5819.09,206491.59
5819.09,215032.34
5819.09,310132.89
5819.09,172141.67
5819.09,301749.71
5819.09,71643.61
5819.09,201931.42
5819.09,363801.61
5819.09,161734.9
8704.29,260686.83
8704.29,183755.01
8704.29,218153.79
8704.29,134107.62
8704.29,130762.83
8704.29,122371.39
8704.29,138758.88
8704.29,135908.67
8704.29,27439.83
8704.29,315877.48
8704.29,127028.64
8704.29,82814.29
8704.29,216245.25
8857.38,43006.48
8857.38,153878.46
8857.38,299924.54
8857.38,213881.18
8857.38,369204.44
8857.38,110961.18
8857.38,108771.19
8857.38,138279.65
8857.38,255855.98
8857.38,192398.33
8857.38,298748.83
8857.38,118223.89
8857.38,229058.24
8857.38,126588.49
4934.76,115518.17
4934.76,96856.26
4934.76,314252.51
4934.76,221528.9
4934.76,82516.01
4934.76,66237.89
4934.76,80915.81
4934.76,97104.8
4934.76,139018.99
4934.76,284803.12
4934.76,248972.06
4934.76,207183.51
4934.76,26325.41
4934.76,43458.12
