Gender,AreaCode,City,State,Zip,MaritalStatus,HasChild,Salary,Rate,SingleExemp,MarriedExemp,ChildExemp
M,ac856,WINSLOW,NJ,zip8095,S,N,45000,1.7942707999999998,1000,0,0
M,ac479,FORREST_CITY,AR,zip72336,M,Y,20000,4.9682083,0,40,20
F,ac803,SWANSEA,SC,zip29160,S,N,45000,7.0,3300,0,0
F,ac769,ETTA,MS,zip38627,M,N,50000,5.0,0,12000,0
F,ac406,GREAT_FALLS,MT,zip59401,S,N,90000,6.9,1900,0,0
M,ac434,DOLPHIN,VA,zip23843,M,Y,70000,5.75,0,1800,900
M,ac408,ALHAMBRA,CA,zip91841,S,Y,100000,9.3,87,0,272
F,ac443,BETHESDA,MD,zip20816,S,Y,70000,4.75,2400,0,2400
F,ac208,PINEHURST,ID,zip83850,S,N,65000,7.8,3300,0,0
M,ac808,HONOLULU,HI,zip96810,S,N,60000,8.25,1040,0,0
M,ac478,GRAYSON,GA,zip30017,S,N,65000,6.0,2700,0,0
M,ac337,BATON_ROUGE,LA,zip70891,M,Y,100000,6.0,0,9000,1000
M,ac865,BROWNSVILLE,TN,zip38012,S,N,40000,0.0,0,0,0
M,ac618,MOUND_CITY,IL,zip62963,M,N,30000,3.0,0,4000,0
M,ac505,DEMING,NM,zip88030,M,N,10000,3.2428572,0,6600,0
M,ac843,GABLE,SC,zip29051,S,N,25000,7.0,3300,0,0
M,ac870,MALVERN,AR,zip72104,S,Y,15000,3.773037,20,0,20
F,ac256,BRANTLEY,AL,zip36009,S,N,10000,5.0,1500,0,0
F,ac910,RALEIGH,NC,zip27690,M,N,20000,6.1520977,0,6600,0
F,ac209,LOS_ANGELES,CA,zip90068,S,N,100000,9.3,87,0,0
F,ac309,HARDIN,IL,zip62047,S,Y,95000,3.0,2000,0,2000
M,ac307,AUBURN,WY,zip83111,S,Y,35000,0.0,0,0,0
M,ac202,WASHINGTON,DC,zip20539,S,N,95000,9.0,1370,0,0
F,ac205,VANDIVER,AL,zip35176,S,Y,80000,5.0,1500,0,300
M,ac920,GREEN_BAY,WI,zip54303,M,Y,15000,4.707031,0,1400,400
F,ac857,NATICK,MA,zip1760,M,N,35000,5.3,0,7150,0
F,ac216,BLISSFIELD,OH,zip43805,S,N,95000,3.6995387,1300,0,0
M,ac765,CLAYTON,IN,zip46118,S,N,65000,3.4,1000,0,0
M,ac781,SALEM,MA,zip1971,M,Y,80000,5.3,0,7150,1000
F,ac715,MILWAUKEE,WI,zip53244,S,N,50000,5.3151608,700,0,0
M,ac708,FOX_VALLEY,IL,zip60599,S,Y,90000,3.0,2000,0,2000
M,ac201,MILLSTONE_TOWNSHIP,NJ,zip8535,S,Y,5000,1.4,1000,0,1500
F,ac307,CHEYENNE,WY,zip82009,M,N,85000,0.0,0,0,0
M,ac312,REDDICK,IL,zip60961,S,Y,5000,3.0,2000,0,2000
F,ac605,MANDERSON,SD,zip57756,M,N,5000,0.0,0,0,0
F,ac443,SPENCERVILLE,MD,zip20868,S,Y,40000,4.75,2400,0,2400
M,ac401,WESTERLY,RI,zip2891,S,Y,60000,0.0,0,0,0
M,ac207,AUGUSTA,ME,zip4336,S,Y,20000,8.5,2850,0,2850
M,ac864,CORDOVA,SC,zip29039,S,Y,15000,7.0,3300,0,3300
F,ac719,PENROSE,CO,zip81240,S,N,75000,4.63,0,0,0
F,ac435,SALT_LAKE_CITY,UT,zip84133,M,N,30000,7.0,0,4950,0
F,ac870,LUXORA,AR,zip72358,S,Y,70000,7.0,20,0,20
F,ac318,METAIRIE,LA,zip70006,S,Y,35000,6.0,4500,0,1000
M,ac937,COLUMBUS,OH,zip43209,M,N,90000,3.533564,0,2600,0
F,ac973,HACKENSACK,NJ,zip7601,S,N,10000,1.4,1000,0,0
F,ac828,ROCKY_MOUNT,NC,zip27801,M,N,45000,6.6765732999999985,0,6600,0
F,ac347,DEANSBORO,NY,zip13328,S,N,100000,4.5329266,0,0,0
M,ac308,BELLEVUE,NE,zip68123,M,Y,20000,5.685643,0,206,103
M,ac325,TOW,TX,zip78672,S,Y,20000,0.0,0,0,0
M,ac505,LOS_LUNAS,NM,zip87031,M,N,65000,5.3,0,6600,0
M,ac605,WESTPORT,SD,zip57481,M,Y,20000,0.0,0,0,0
M,ac308,WESTON,NE,zip68070,S,Y,50000,6.84,103,0,103
M,ac920,IRON_BELT,WI,zip54536,S,Y,55000,5.4020367,700,0,400
M,ac605,MILESVILLE,SD,zip57553,S,Y,55000,0.0,0,0,0
M,ac605,MURDO,SD,zip57559,S,N,75000,0.0,0,0,0
M,ac812,INDIANAPOLIS,IN,zip46291,M,Y,65000,3.4,0,2000,1000
F,ac701,MICHIGAN,ND,zip58259,M,N,10000,2.1,0,6600,0
F,ac970,CRESTED_BUTTE,CO,zip81224,M,N,55000,4.63,0,0,0
M,ac301,DARLINGTON,MD,zip21034,M,N,15000,4.75,0,4800,0
M,ac321,CAPTIVA,FL,zip33924,S,N,15000,0.0,0,0,0
F,ac317,FLOYDS_KNOBS,IN,zip47119,S,Y,65000,3.4,1000,0,1000
F,ac512,MISSOURI_CITY,TX,zip77489,M,N,15000,0.0,0,0,0
F,ac480,PHOENIX,AZ,zip85079,S,Y,10000,2.87,2100,0,2300
F,ac208,GENESEE,ID,zip83832,S,Y,45000,7.8,3300,0,3300
M,ac718,PORT_EWEN,NY,zip12466,M,Y,15000,4.040549,0,0,1000
F,ac774,BOSTON,MA,zip2266,M,N,95000,5.3,0,7150,0
M,ac769,GEORGETOWN,MS,zip39078,S,Y,90000,5.0,6000,0,1500
F,ac504,NORCO,LA,zip70079,M,N,70000,6.0,0,9000,0
M,ac401,PROVIDENCE,RI,zip2901,S,N,65000,0.0,0,0,0
M,ac307,NATRONA,WY,zip82646,M,N,5000,0.0,0,0,0
F,ac561,STUART,FL,zip34994,M,N,45000,0.0,0,0,0
M,ac707,SAN_DIEGO,CA,zip92135,S,N,35000,7.7709284,87,0,0
M,ac571,CHINCOTEAGUE_ISLAND,VA,zip23336,S,Y,65000,5.75,900,0,900
F,ac770,FAYETTEVILLE,GA,zip30214,M,Y,40000,6.0,0,5400,3000
F,ac605,HARRISON,SD,zip57344,S,N,35000,0.0,0,0,0
M,ac712,BEAVER,IA,zip50031,S,Y,10000,1.7078737000000002,40,0,40
M,ac978,ORANGE,MA,zip1364,M,N,65000,5.3,0,7150,0
F,ac662,PINOLA,MS,zip39149,M,Y,20000,5.0,0,12000,1500
F,ac602,KAIBETO,AZ,zip86053,S,N,5000,2.87,2100,0,0
M,ac928,GLENDALE,AZ,zip85304,S,Y,75000,3.8775,2100,0,2300
F,ac605,OACOMA,SD,zip57365,M,N,40000,0.0,0,0,0
M,ac401,CENTRAL_FALLS,RI,zip2863,S,N,25000,0.0,0,0,0
F,ac913,TOPEKA,KS,zip66611,S,Y,45000,6.45,2250,0,2250
M,ac276,WARRENTON,VA,zip20187,S,Y,10000,3.875,900,0,900
F,ac386,MIAMI,FL,zip33299,S,Y,60000,0.0,0,0,0
F,ac479,WILMOT,AR,zip71676,S,N,40000,7.0,20,0,0
F,ac610,NORTHUMBERLAND,PA,zip17857,M,Y,95000,3.07,0,0,0
M,ac505,DEXTER,NM,zip88230,S,N,25000,5.3,3300,0,0
M,ac205,BIRMINGHAM,AL,zip35228,M,Y,100000,5.0,0,3000,300
M,ac551,NORTH_BRUNSWICK,NJ,zip8902,M,N,70000,2.1885417,0,2000,0
F,ac678,EASTANOLLEE,GA,zip30538,M,Y,20000,6.0,0,5400,3000
M,ac843,CONWAY,SC,zip29526,M,N,80000,7.0,0,6600,0
F,ac856,EAST_BRUNSWICK,NJ,zip8816,M,Y,70000,2.1885417,0,2000,1500
M,ac509,BRINNON,WA,zip98320,S,N,30000,0.0,0,0,0
M,ac205,BIRMINGHAM,AL,zip35240,S,N,100000,5.0,1500,0,0
M,ac787,LOIZA,PR,zip772,M,Y,30000,0.0,0,0,0
F,ac808,WAKE_ISLAND,HI,zip96898,M,Y,100000,8.25,0,2080,1040
F,ac336,GREENSBORO,NC,zip27413,M,N,100000,7.8304195,0,6600,0
M,ac775,LAS_VEGAS,NV,zip89164,M,N,35000,0.0,0,0,0
F,ac270,WASHINGTON,KY,zip41096,S,Y,20000,2.9444444,20,0,20
F,ac573,KANSAS_CITY,MO,zip64172,S,Y,40000,6.0,2100,0,1200
F,ac803,COLUMBIA,SC,zip29208,S,Y,60000,7.0,3300,0,3300
F,ac203,NEW_HAVEN,CT,zip6540,M,N,80000,5.0,0,24500,0
M,ac435,OGDEN,UT,zip84244,M,Y,100000,7.0,0,4950,2475
F,ac563,WALKER,IA,zip52352,S,N,10000,1.7078737000000002,40,0,0
M,ac580,OKLAHOMA_CITY,OK,zip73154,S,Y,40000,6.25,1000,0,1000
F,ac774,UPTON,MA,zip1568,M,N,30000,5.3,0,7150,0
M,ac336,RALEIGH,NC,zip27609,M,Y,30000,6.361888,0,6600,3300
F,ac954,FORT_LAUDERDALE,FL,zip33323,S,N,85000,0.0,0,0,0
F,ac207,LEWISTON,ME,zip4241,S,Y,100000,8.5,2850,0,2850
M,ac601,SLEDGE,MS,zip38670,S,Y,100000,5.0,6000,0,1500
F,ac707,POLLOCK_PINES,CA,zip95726,M,N,95000,9.3,0,174,0
M,ac859,HISEVILLE,KY,zip42152,M,Y,50000,4.611111,0,40,20
F,ac559,SACRAMENTO,CA,zip95832,M,Y,80000,9.3,0,174,272
F,ac302,NEWARK,DE,zip19716,M,N,95000,5.95,0,220,0
F,ac939,SAN_JUAN,PR,zip926,S,Y,95000,0.0,0,0,0
F,ac406,WHITEHALL,MT,zip59759,S,Y,50000,6.9,1900,0,1900
M,ac479,FORT_SMITH,AR,zip72906,S,Y,95000,7.0,20,0,20
F,ac302,FENWICK_ISLAND,DE,zip19944,S,N,50000,5.268182,110,0,0
F,ac931,ATHENS,TN,zip37371,S,Y,20000,0.0,0,0,0
F,ac802,NORWICH,VT,zip5055,S,N,50000,3.9998987,3300,0,0
M,ac207,HARBORSIDE,ME,zip4642,S,Y,10000,4.5857663,2850,0,2850
F,ac845,SYRACUSE,NY,zip13235,S,N,50000,4.243293,0,0,0
F,ac202,WASHINGTON,DC,zip20552,M,Y,45000,9.0,0,2740,1370
F,ac719,BOULDER,CO,zip80328,M,N,40000,4.63,0,0,0
F,ac815,CLINTON,IL,zip61727,S,N,100000,3.0,2000,0,0
F,ac662,JAYESS,MS,zip39641,M,Y,40000,5.0,0,12000,1500
M,ac785,ABBYVILLE,KS,zip67510,S,Y,75000,6.45,2250,0,2250
M,ac718,WALWORTH,NY,zip14568,M,Y,50000,4.243293,0,0,1000
F,ac205,DEMOPOLIS,AL,zip36732,S,N,40000,5.0,1500,0,0
M,ac612,HAMPTON,MN,zip55031,M,N,40000,6.3900213,0,6600,0
F,ac626,SAN_DIEGO,CA,zip92126,S,N,25000,5.410157,87,0,0
F,ac217,BREESE,IL,zip62230,M,N,30000,3.0,0,4000,0
F,ac703,RICHMOND,VA,zip23232,S,Y,80000,5.75,900,0,900
M,ac308,OMAHA,NE,zip68172,M,Y,20000,5.685643,0,206,103
M,ac505,ALBUQUERQUE,NM,zip87195,S,N,85000,5.3,3300,0,0
M,ac662,JACKSON,MS,zip39211,M,Y,20000,5.0,0,12000,1500
M,ac207,BLAINE,ME,zip4734,S,Y,95000,8.5,2850,0,2850
M,ac304,JUNIOR,WV,zip26275,M,Y,10000,3.0,0,4000,2000
M,ac351,PROVINCETOWN,MA,zip2657,S,N,55000,5.3,3575,0,0
M,ac208,SUN_VALLEY,ID,zip83353,S,N,5000,2.6903439,3300,0,0
F,ac360,SELAH,WA,zip98942,M,Y,10000,0.0,0,0,0
M,ac808,SCHOFIELD_BARRACKS,HI,zip96857,S,Y,30000,6.447368,1040,0,1040
M,ac270,CROMONA,KY,zip41810,S,N,50000,4.611111,20,0,0
M,ac202,WASHINGTON,DC,zip20216,M,Y,90000,9.0,0,2740,1370
F,ac405,TULSA,OK,zip74171,S,N,40000,6.25,1000,0,0
F,ac641,OSKALOOSA,IA,zip52577,S,Y,80000,8.98,40,0,40
F,ac276,GOLDVEIN,VA,zip22720,M,N,50000,5.75,0,1800,0
M,ac618,SPRINGFIELD,IL,zip62719,S,N,10000,3.0,2000,0,0
M,ac651,AURORA,MN,zip55705,M,Y,15000,5.35,0,6600,3300
F,ac402,BURR,NE,zip68324,M,N,65000,6.84,0,206,0
M,ac402,OMAHA,NE,zip68179,S,N,65000,6.84,103,0,0
F,ac520,POLACCA,AZ,zip86042,M,Y,90000,4.11,0,4200,2300
M,ac504,NEW_ORLEANS,LA,zip70129,S,N,15000,2.8,4500,0,0
M,ac404,HORTENSE,GA,zip31543,S,Y,100000,6.0,2700,0,3000
M,ac307,WAMSUTTER,WY,zip82336,S,Y,70000,0.0,0,0,0
M,ac307,EVANSVILLE,WY,zip82636,M,N,20000,0.0,0,0,0
M,ac864,FLORENCE,SC,zip29501,S,Y,45000,7.0,3300,0,3300
F,ac251,SHANNON,AL,zip35142,S,N,35000,5.0,1500,0,0
F,ac701,SCRANTON,ND,zip58653,S,Y,95000,2.8569736,3300,0,3300
M,ac505,ALBUQUERQUE,NM,zip87195,M,Y,70000,5.3,0,6600,3300
F,ac567,SOMERDALE,OH,zip44678,M,N,25000,1.3758974,0,2600,0
F,ac614,NORWICH,OH,zip43767,M,N,30000,1.5418718,0,2600,0
F,ac228,MERIDIAN,MS,zip39307,M,N,40000,5.0,0,12000,0
F,ac314,HELENA,MO,zip64459,M,N,50000,6.0,0,4200,0
F,ac808,KEALAKEKUA,HI,zip96750,S,Y,95000,8.25,1040,0,1040
M,ac605,WINFRED,SD,zip57076,S,Y,100000,0.0,0,0,0
F,ac262,HAWTHORNE,WI,zip54842,S,N,60000,5.488912,700,0,0
F,ac502,FLATGAP,KY,zip41219,S,Y,75000,6.0,20,0,20
F,ac302,NEWARK,DE,zip19718,M,N,55000,5.609091,0,220,0
F,ac440,POWHATAN_POINT,OH,zip43942,M,Y,80000,3.2016153,0,2600,1300
F,ac606,JEREMIAH,KY,zip41826,M,Y,30000,3.5,0,40,20
M,ac412,GREELEY,PA,zip18425,M,Y,80000,3.07,0,0,0
M,ac605,PRINGLE,SD,zip57773,S,Y,65000,0.0,0,0,0
F,ac580,TULSA,OK,zip74132,S,Y,10000,6.25,1000,0,1000
F,ac913,HOISINGTON,KS,zip67544,M,N,25000,5.4666667,0,4500,0
F,ac775,RENO,NV,zip89503,S,Y,20000,0.0,0,0,0
M,ac417,KANSAS_CITY,MO,zip64166,S,N,70000,6.0,2100,0,0
F,ac702,RUTH,NV,zip89319,S,Y,50000,0.0,0,0,0
F,ac228,MICHIGAN_CITY,MS,zip38647,S,N,65000,5.0,6000,0,0
M,ac603,WARREN,NH,zip3279,S,N,15000,0.0,0,0,0
M,ac901,TRIMBLE,TN,zip38259,M,Y,15000,0.0,0,0,0
F,ac775,SMITH,NV,zip89430,M,Y,30000,0.0,0,0,0
F,ac607,REMSENBURG,NY,zip11960,S,Y,45000,4.2143292,0,0,1000
M,ac413,OAK_BLUFFS,MA,zip2557,M,N,80000,5.3,0,7150,0
M,ac717,WILLIAMSPORT,PA,zip17702,S,Y,65000,3.07,0,0,0
F,ac515,SHENANDOAH,IA,zip51601,M,Y,70000,8.98,0,80,40
M,ac504,FENTON,LA,zip70640,M,N,80000,6.0,0,9000,0
M,ac207,WATERFORD,ME,zip4088,S,Y,30000,8.5,2850,0,2850
F,ac360,VANCOUVER,WA,zip98662,S,N,50000,0.0,0,0,0
F,ac808,SCHOFIELD_BARRACKS,HI,zip96857,S,N,65000,8.25,1040,0,0
F,ac302,HARRINGTON,DE,zip19952,S,N,20000,3.2227273,110,0,0
M,ac435,SALT_LAKE_CITY,UT,zip84123,M,N,60000,7.0,0,4950,0
F,ac207,WEST_FORKS,ME,zip4985,M,Y,50000,8.5,0,5700,2850
F,ac240,SILVER_SPRING,MD,zip20905,M,Y,65000,4.75,0,4800,2400
F,ac505,LAS_CRUCES,NM,zip88013,M,N,20000,5.3,0,6600,0
F,ac787,VIEQUES,PR,zip765,S,N,10000,0.0,0,0,0
M,ac808,LANAI_CITY,HI,zip96763,S,N,40000,8.25,1040,0,0
M,ac775,SILVERPEAK,NV,zip89047,S,N,65000,0.0,0,0,0
M,ac712,SIOUX_CENTER,IA,zip51250,S,N,55000,8.65488,40,0,0
F,ac336,IRON_STATION,NC,zip28080,M,Y,50000,6.7814684000000005,0,6600,3300
M,ac810,FLINT,MI,zip48555,M,N,90000,3.9,0,6200,0
M,ac406,HELENA,MT,zip59604,M,Y,30000,6.9,0,3800,1900
M,ac228,COLUMBUS,MS,zip39704,S,N,30000,5.0,6000,0,0
M,ac870,RATCLIFF,AR,zip72951,S,N,85000,7.0,20,0,0
F,ac731,RIDDLETON,TN,zip37151,M,Y,75000,0.0,0,0,0
M,ac510,ELDRIDGE,CA,zip95431,M,N,100000,9.3,0,174,0
F,ac330,COLUMBUS,OH,zip43216,S,N,35000,1.7078462,1300,0,0
M,ac316,TOWANDA,KS,zip67144,M,N,20000,4.483333,0,4500,0
M,ac636,SMITHVILLE,MO,zip64089,S,Y,40000,6.0,2100,0,1200
M,ac971,CRABTREE,OR,zip97335,S,Y,45000,9.0,159,0,159
M,ac505,GARFIELD,NM,zip87936,S,Y,15000,4.957143,3300,0,3300
M,ac603,DOVER,NH,zip3822,M,Y,85000,0.0,0,0,0
M,ac307,NEWCASTLE,WY,zip82701,M,N,75000,0.0,0,0,0
M,ac402,PAGE,NE,zip68766,M,Y,70000,6.84,0,206,103
M,ac215,MILL_CREEK,PA,zip17060,S,Y,35000,3.07,0,0,0
M,ac765,CICERO,IN,zip46034,M,N,35000,3.4,0,2000,0
F,ac503,OREGON_CITY,OR,zip97045,S,Y,40000,9.0,159,0,159
M,ac251,FLORENCE,AL,zip35630,S,Y,35000,5.0,1500,0,300
F,ac302,FENWICK_ISLAND,DE,zip19944,S,Y,70000,5.95,110,0,110
M,ac262,ELROY,WI,zip53929,S,Y,85000,5.9232907,700,0,400
F,ac319,VENTURA,IA,zip50482,S,Y,90000,8.98,40,0,40
M,ac201,HASKELL,NJ,zip7420,M,N,85000,2.4251041,0,2000,0
M,ac307,BASIN,WY,zip82410,M,N,70000,0.0,0,0,0
F,ac316,REXFORD,KS,zip67753,M,Y,75000,6.45,0,4500,2250
F,ac804,RADFORD,VA,zip24142,M,N,25000,5.75,0,1800,0
F,ac734,TWIN_LAKE,MI,zip49457,S,Y,30000,3.9,3100,0,3100
M,ac712,DUBUQUE,IA,zip52099,M,N,75000,8.98,0,80,0
F,ac312,ELLERY,IL,zip62833,S,N,80000,3.0,2000,0,0
M,ac318,SHREVEPORT,LA,zip71129,M,Y,25000,6.0,0,9000,1000
M,ac702,LAS_VEGAS,NV,zip89185,M,N,40000,0.0,0,0,0
F,ac870,BRADLEY,AR,zip71826,S,N,20000,4.9682083,20,0,0
M,ac435,OAK_CITY,UT,zip84649,M,N,85000,7.0,0,4950,0
M,ac503,TILLAMOOK,OR,zip97141,M,Y,35000,9.0,0,318,159
F,ac603,JEFFERSON,NH,zip3583,S,Y,35000,0.0,0,0,0
M,ac320,MONTICELLO,MN,zip55582,S,Y,85000,7.85,3300,0,3300
M,ac501,DE_QUEEN,AR,zip71832,M,N,70000,7.0,0,40,0
M,ac848,HAWTHORNE,NJ,zip7507,S,N,95000,2.5828125,1000,0,0
M,ac731,BOLIVAR,TN,zip38008,M,N,45000,0.0,0,0,0
M,ac701,WHEATLAND,ND,zip58079,M,Y,5000,2.1,0,6600,3300
M,ac612,SAINT_PAUL,MN,zip55102,M,Y,75000,7.85,0,6600,3300
F,ac907,KOYUK,AK,zip99753,S,Y,10000,0.0,0,0,0
F,ac430,SLIDELL,TX,zip76267,M,Y,15000,0.0,0,0,0
F,ac620,HOME,KS,zip66438,M,Y,40000,6.45,0,4500,2250
F,ac931,MAURY_CITY,TN,zip38050,S,N,65000,0.0,0,0,0
M,ac980,REIDSVILLE,NC,zip27323,M,Y,30000,6.361888,0,6600,3300
M,ac907,INDIAN,AK,zip99540,S,Y,55000,0.0,0,0,0
M,ac704,MAPLE,NC,zip27956,M,N,65000,7.0961537,0,6600,0
M,ac501,PALESTINE,AR,zip72372,M,Y,75000,7.0,0,40,20
M,ac918,PAOLI,OK,zip73074,M,Y,30000,6.25,0,2000,1000
M,ac406,BOYES,MT,zip59316,S,N,85000,6.9,1900,0,0
M,ac941,LAKE_WORTH,FL,zip33466,S,N,40000,0.0,0,0,0
F,ac775,MINA,NV,zip89422,S,N,25000,0.0,0,0,0
F,ac205,PHENIX_CITY,AL,zip36867,M,Y,50000,5.0,0,3000,300
M,ac202,WASHINGTON,DC,zip20444,S,Y,40000,9.0,1370,0,1370
F,ac775,THE_LAKES,NV,zip88901,M,N,10000,0.0,0,0,0
F,ac515,CEDAR_FALLS,IA,zip50614,S,Y,80000,8.98,40,0,40
M,ac606,BROWDER,KY,zip42326,S,N,75000,6.0,20,0,0
M,ac802,WOLCOTT,VT,zip5680,S,Y,15000,3.6,3300,0,3300
F,ac425,MONROE,WA,zip98272,M,Y,25000,0.0,0,0,0
F,ac615,GADSDEN,TN,zip38337,S,N,5000,0.0,0,0,0
F,ac207,NEWFIELD,ME,zip4056,M,Y,85000,8.5,0,5700,2850
F,ac316,BUCYRUS,KS,zip66013,M,N,80000,6.45,0,4500,0
F,ac860,CORNWALL,CT,zip6753,M,N,30000,5.0,0,24500,0
F,ac413,BUZZARDS_BAY,MA,zip2542,M,N,50000,5.3,0,7150,0
F,ac307,MC_KINNON,WY,zip82938,S,Y,70000,0.0,0,0,0
M,ac857,NORTH_FALMOUTH,MA,zip2556,M,Y,70000,5.3,0,7150,1000
M,ac540,NORA,VA,zip24272,M,Y,25000,5.75,0,1800,900
F,ac425,SEATTLE,WA,zip98121,S,N,45000,0.0,0,0,0
M,ac615,FLINTVILLE,TN,zip37335,M,N,50000,0.0,0,0,0
M,ac660,HOLT,MO,zip64048,M,N,45000,6.0,0,4200,0
F,ac727,SUN_CITY_CENTER,FL,zip33573,S,N,10000,0.0,0,0,0
M,ac304,OSAGE,WV,zip26543,M,Y,60000,6.5,0,4000,2000
F,ac256,PELL_CITY,AL,zip35128,S,Y,45000,5.0,1500,0,300
M,ac605,GAYVILLE,SD,zip57031,M,Y,30000,0.0,0,0,0
F,ac208,COCOLALLA,ID,zip83813,S,N,20000,6.948391,3300,0,0
M,ac620,SYCAMORE,KS,zip67363,M,Y,95000,6.45,0,4500,2250
M,ac318,LIVONIA,LA,zip70755,S,Y,50000,6.0,4500,0,1000
M,ac614,MANSFIELD,OH,zip44902,S,N,45000,2.039795,1300,0,0
F,ac859,SCOTTSVILLE,KY,zip42164,S,Y,75000,6.0,20,0,20
F,ac608,JANESVILLE,WI,zip53546,S,Y,5000,4.6,700,0,400
F,ac502,BLOOMFIELD,KY,zip40008,M,Y,100000,6.0,0,40,20
M,ac229,PERKINS,GA,zip30822,M,N,95000,6.0,0,5400,0
M,ac954,TAMPA,FL,zip33688,M,Y,10000,0.0,0,0,0
F,ac224,ROCKFORD,IL,zip61101,M,N,50000,3.0,0,4000,0
F,ac808,MAKAWELI,HI,zip96769,M,Y,10000,2.8421054,0,2080,1040
M,ac435,ANNABELLA,UT,zip84711,M,N,80000,7.0,0,4950,0
F,ac727,LAKESHORE,FL,zip33854,M,N,35000,0.0,0,0,0
M,ac319,COLUMBUS_CITY,IA,zip52737,M,Y,75000,8.98,0,80,40
F,ac360,TAHOLAH,WA,zip98587,M,Y,80000,0.0,0,0,0
M,ac302,NEW_CASTLE,DE,zip19721,M,Y,50000,5.268182,0,220,110
F,ac617,NORTH_HATFIELD,MA,zip1066,M,N,55000,5.3,0,7150,0
F,ac401,OAKLAND,RI,zip2858,M,Y,75000,0.0,0,0,0
M,ac503,KENO,OR,zip97627,S,Y,80000,9.0,159,0,159
F,ac601,WALLS,MS,zip38680,S,Y,10000,5.0,6000,0,1500
M,ac505,TREMENTINA,NM,zip88439,S,N,15000,4.957143,3300,0,0
F,ac307,ROCK_RIVER,WY,zip82083,M,N,55000,0.0,0,0,0
M,ac267,GORDONVILLE,PA,zip17529,M,N,30000,3.07,0,0,0
F,ac802,SHARON,VT,zip5065,M,N,85000,4.69624,0,6600,0
M,ac208,EASTPORT,ID,zip83826,M,N,15000,5.529042,0,6600,0
F,ac580,GOLTRY,OK,zip73739,S,Y,100000,6.25,1000,0,1000
M,ac201,STRATHMERE,NJ,zip8248,M,Y,100000,2.6616669,0,2000,1500
F,ac319,MANSON,IA,zip50563,S,N,50000,7.8829904000000015,40,0,0
F,ac603,FARMINGTON,NH,zip3835,S,Y,45000,0.0,0,0,0
